subj_idx,change_number,rhythm,response,rt,x1,x2,x3,x4,x5,x6
7,0,1,0,0.890213899954688,1,0,0,1,0,0
7,4,0,1,1.01442810002482,0,0,1,0,0,0
7,2,0,1,1.10780159995193,0,1,0,0,0,0
7,2,0,1,1.10395800002152,0,1,0,0,0,0
7,4,1,1,0.322079700010363,0,0,1,0,0,1
7,4,0,1,1.3812480000197,0,0,1,0,0,0
7,4,1,1,1.49280630005524,0,0,1,0,0,1
7,4,1,1,0.786991600005422,0,0,1,0,0,1
7,4,1,1,0.539218600024469,0,0,1,0,0,1
7,2,0,1,1.30711690004682,0,1,0,0,0,0
7,4,0,1,0.55909450002946,0,0,1,0,0,0
7,0,1,1,0.534602999978233,1,0,0,1,0,0
7,2,1,1,0.858919199963566,0,1,0,0,1,0
7,2,0,1,1.39172549999785,0,1,0,0,0,0
7,2,1,1,0.491540100018028,0,1,0,0,1,0
7,0,1,0,0.643496500037145,1,0,0,1,0,0
8,4,0,1,1.2939619999961,0,0,1,0,0,0
8,4,1,1,0.802918999979738,0,0,1,0,0,1
8,0,0,1,1.43320369999856,1,0,0,0,0,0
8,0,0,1,0.818784000002779,1,0,0,0,0,0
8,2,0,0,0.842968499986455,0,1,0,0,0,0
8,2,1,1,0.852421000017785,0,1,0,0,1,0
8,0,1,1,0.959658899984788,1,0,0,1,0,0
8,2,1,1,0.826270100020338,0,1,0,0,1,0
8,2,0,0,0.918648799997754,0,1,0,0,0,0
8,2,1,1,1.30018419999396,0,1,0,0,1,0
8,0,0,0,0.733990100037772,1,0,0,0,0,0
8,0,1,1,1.2718823000323,1,0,0,1,0,0
8,4,1,1,1.15895790001377,0,0,1,0,0,1
8,4,1,0,0.934344199951738,0,0,1,0,0,1
8,2,1,1,0.854544600006193,0,1,0,0,1,0
8,2,1,1,0.787222499959171,0,1,0,0,1,0
8,2,0,0,1.73196669999743,0,1,0,0,0,0
8,0,0,1,0.549242499982938,1,0,0,0,0,0
8,4,0,0,0.766002500022296,0,0,1,0,0,0
8,2,0,1,1.54667270003119,0,1,0,0,0,0
8,0,0,1,0.872941199981142,1,0,0,0,0,0
8,2,0,1,1.12149190000491,0,1,0,0,0,0
8,2,0,1,0.850478199950885,0,1,0,0,0,0
8,4,1,1,0.668138000008184,0,0,1,0,0,1
8,2,1,1,0.885977099998854,0,1,0,0,1,0
8,4,0,1,1.41667090001283,0,0,1,0,0,0
8,4,0,0,1.16259600000922,0,0,1,0,0,0
8,0,1,1,0.931505000044126,1,0,0,1,0,0
8,0,1,0,0.916661099996418,1,0,0,1,0,0
8,4,0,1,1.90057659999002,0,0,1,0,0,0
8,0,0,1,0.643630900012795,1,0,0,0,0,0
8,0,0,1,0.951817099994514,1,0,0,0,0,0
8,4,0,1,0.810534999996889,0,0,1,0,0,0
8,4,0,1,1.05914550001035,0,0,1,0,0,0
8,0,1,1,1.00803930003894,1,0,0,1,0,0
8,0,0,1,3.07509759999812,1,0,0,0,0,0
8,4,0,1,0.695409999985714,0,0,1,0,0,0
8,2,1,0,1.40345499996329,0,1,0,0,1,0
8,0,1,1,0.617291900038254,1,0,0,1,0,0
8,0,0,1,0.670688200043514,1,0,0,0,0,0
8,0,0,1,1.38286479999078,1,0,0,0,0,0
8,4,0,1,0.848716799984686,0,0,1,0,0,0
8,0,1,1,1.19380369997816,1,0,0,1,0,0
8,2,1,1,3.12987629999407,0,1,0,0,1,0
8,4,1,1,1.00858000002336,0,0,1,0,0,1
8,2,0,1,0.629628300026525,0,1,0,0,0,0
8,0,1,1,0.647960000031162,1,0,0,1,0,0
8,2,1,1,0.871796199993696,0,1,0,0,1,0
