subj_idx,rhythm,response,stim,rt,change_number
15,0,0,1,0.950915399938822,2
15,1,1,1,1.8545666000573,4
15,0,1,1,1.33848480007146,2
15,1,0,1,1.13216250005644,2
15,1,0,0,0.890369800035842,0
15,0,0,0,0.890273299999535,0
15,0,1,1,1.39128500001971,2
15,0,1,1,0.731849800096825,2
15,0,1,1,1.27796009997837,2
15,1,1,1,1.33282409992535,2
15,0,0,1,0.666093699983321,2
15,0,0,0,1.67145179992076,0
15,0,1,1,1.47222450003028,2
15,0,0,1,1.14641419996042,4
15,0,1,1,1.34747209993657,4
15,0,0,1,1.3568237000145,4
15,0,1,0,0.912865600083023,0
15,0,0,1,0.985174700035714,4
15,0,0,1,1.21436959994026,4
15,0,0,1,1.1598300000187,2
15,1,1,1,2.15555909997784,4
15,0,1,1,1.48264180007391,4
15,1,1,1,1.71311239991337,2
15,1,1,1,1.47493260004558,2
15,1,1,1,0.992724099894986,4
15,0,1,1,2.00394099997357,4
15,1,0,1,0.618213500012644,2
15,0,0,0,1.52541649993509,0
15,0,0,0,1.15820289996918,0
15,0,1,0,1.49264189996757,0
15,0,1,0,1.19818139995914,0
15,0,0,1,1.20683330006432,2
15,1,0,0,0.650200100033544,0
15,0,0,0,1.89114439999685,0
15,1,0,0,1.04024600004777,0
15,0,1,0,1.58450720005203,0
15,1,0,0,1.16821719997097,0
15,0,0,0,0.787333899992518,0
15,0,1,1,1.32055679999758,4
15,1,1,0,1.77400420000777,0
15,1,0,0,0.66599829995539,0
15,1,1,1,0.900040399981663,2
15,0,0,0,0.832483799895272,0
15,1,1,0,1.67720689997077,0
15,1,1,1,0.493421499966644,4
15,1,1,1,1.00998730002902,4
15,0,0,1,0.588246200000867,2
15,1,0,1,1.65072579996195,4
15,0,1,1,1.33407270000316,2
15,0,1,1,1.39559830003418,2
15,1,1,0,0.712422100012191,0
15,1,1,1,0.588163300068118,2
15,0,1,1,0.885412700008601,2
15,0,1,1,1.31840649992228,2
15,0,1,1,0.62924119993113,4
15,0,1,0,1.53266399994027,0
15,0,1,0,0.913965599960648,0
15,0,0,0,0.802831999957561,0
15,1,1,1,0.857597100082785,2
15,1,0,1,1.3707719000522,4
15,0,0,0,1.00295450002886,0
15,1,1,1,0.671908800024539,4
15,0,1,1,1.01766879996285,4
15,1,0,1,0.894519000081345,2
15,1,1,1,1.53735190001316,2
15,1,0,1,0.750847299932502,4
15,0,0,0,0.995426699984819,0
15,1,1,1,1.31631180003751,4
15,1,1,1,0.788095200085081,4
15,0,0,0,0.93462830001954,0
15,0,1,1,1.46468380000442,4
15,0,1,0,1.18122570007108,0
15,1,1,0,1.68533669994213,0
15,0,0,1,0.532938800053671,2
15,1,1,1,1.06895820004866,2
15,1,0,1,0.704815299948677,2
15,1,0,1,1.53246440005023,4
15,1,1,1,0.597441999940202,4
15,1,1,1,0.690871399943717,4
15,0,0,0,1.20974400010891,0
15,0,0,0,1.48328629997559,0
15,0,1,1,0.539856799994595,4
15,0,1,1,1.16667039995082,4
15,0,0,0,0.966534600011073,0
15,0,0,0,1.01749460003339,0
15,0,0,0,0.633576299995184,0
15,0,1,1,1.39624859998003,4
15,0,1,1,0.664540799916722,4
15,0,0,1,1.80420820007566,4
15,0,0,1,0.74682809994556,4
15,0,1,1,1.09865729999729,4
15,1,1,0,1.09606379992329,0
15,0,0,1,0.9558212000411,4
15,1,0,0,0.776254500029609,0
15,1,0,1,0.7178137000883,4
15,1,1,1,1.82400050002616,2
15,0,0,1,1.47721849998925,4
15,1,1,1,0.756956199998967,4
15,0,1,1,0.847208100021817,2
15,1,0,1,0.735243999981321,4
15,0,1,0,1.48040710005444,0
15,0,1,0,1.43665879999753,0
15,0,1,0,1.76429530000314,0
15,1,1,1,1.18182629998773,4
15,1,0,1,0.862273000064306,2
15,0,1,1,1.26612980000209,4
15,1,1,0,1.67260009993333,0
15,0,0,0,0.689658600022085,0
15,0,1,1,1.16735749994405,4
15,1,0,0,1.41902689996641,0
15,1,1,0,1.09445259999484,0
15,1,1,0,1.03762499999721,0
15,1,0,1,0.898552099941298,2
15,0,0,0,1.64962200005539,0
15,0,1,1,0.686929400078952,2
15,0,0,1,0.973536200006492,4
15,1,1,0,0.781743500032462,0
